gene_symbol,mean_DMD,mean_control,log2FC,p_value,padj,neg_log10_padj,regulation
DNAJB6,10.19301285425,11.312982493333331,-1.1199696390833314,4.1924572364736493e-13,2.60591163369955e-10,9.584040315272453,down
TNFSF13B,7.717251447000001,4.403632935749999,3.3136185112500014,4.480184529090482e-13,2.7074004008434286e-10,9.567447511123593,up
ACAP2,4.574069692229167,3.911602033888889,0.6624676583402782,7.510787942711446e-13,4.416140316045608e-10,9.35495713602247,not_significant
PIK3CG,3.1535803003750003,2.357041128666667,0.7965391717083334,7.933039771802683e-13,4.541665269357036e-10,9.342784877388,not_significant
SEC24D,5.195830161291667,3.351645016333334,1.8441851449583333,9.313650065814242e-13,5.195345055943304e-10,9.284385602887252,up
CHRNA1,9.2401125675625,4.9541579594166665,4.2859546081458335,1.0451594762650157e-12,5.684361101536354e-10,9.24531834112047,up
PLEKHM2,7.500105906437501,8.571569320999998,-1.0714634145624977,1.1353594644580492e-12,6.024328085191429e-10,9.220091384465345,down
GPR137B,6.826040875312501,3.4056046,3.4204362753125004,1.251640679271946e-12,6.332428599432834e-10,9.19842969834707,up
PNPLA4,7.2636921085312505,8.770906677583334,-1.507214569052083,1.2372198925881554e-12,6.332428599432834e-10,9.19842969834707,down
HLA-DRA,11.838240384375,9.206619606583333,2.6316207777916674,1.2958635911095629e-12,6.407161914679214e-10,9.193334300861705,up
PIK3AP1,4.32872840771875,2.327261974166666,2.001466433552084,1.3456066633787916e-12,6.505260658179024e-10,9.186735297082281,up
FYN,6.713367415237499,5.1825202381,1.530847177137499,1.8335875326253744e-12,8.671673211361961e-10,9.061897096716248,up
NID2,9.027984034375,6.1021571865,2.9258268478750002,1.9033237887508633e-12,8.809959366867027e-10,9.055026094628376,up
ZNF512,7.0177207149375,5.661249541916667,1.3564711730208332,2.242577221086692e-12,1.0164014050987704e-09,8.99293474324168,up
FAF1,6.4155135552499996,7.640713023833334,-1.2251994685833347,2.5153134058142538e-12,1.1167478192548793e-09,8.952044886929997,down
LSM10,8.881567708125,10.055352298166666,-1.1737845900416648,2.664008247548129e-12,1.159109988508191e-09,8.935875351667317,down
SAMD4A,6.160975203625,8.527978659291668,-2.3670034556666675,2.845342616413389e-12,1.2137338945112409e-09,8.91587651986153,down
FKBP11,5.554806920791667,4.142508408055556,1.4122985127361112,2.9742598438069628e-12,1.2443273635003936e-09,8.905065348376313,up
GMPR,9.55270801625,11.124822736666665,-1.572114720416666,3.1395571043644177e-12,1.27013478927736e-09,8.896150188388004,down
MYLK4,5.041900328895833,9.345420420444446,-4.303520091548613,3.152713335829806e-12,1.27013478927736e-09,8.896150188388004,down
BLNK,5.5461758768125,2.427325149333333,3.118850727479167,3.717029161600677e-12,1.44399945376112e-09,8.840432971052097,up
CTSS,7.1551379659166665,4.549886574277778,2.6052513916388884,3.716354502024543e-12,1.44399945376112e-09,8.840432971052097,up
EIF4G1,8.6311503704375,10.030812872083333,-1.3996625016458335,3.843023062505523e-12,1.4667538021896082e-09,8.83364277731117,down
MFAP2,7.0385683295625,3.805727269,3.2328410605624995,4.6406223762362346e-12,1.740633444741712e-09,8.759292676146778,up
ARHGAP36,8.4678984449375,2.6637098506666663,5.804188594270833,5.162382471027487e-12,1.8411086992984097e-09,8.734920569936023,up
ADAP2,7.48157245325,5.015263429166667,2.4663090240833334,5.080064466186859e-12,1.8411086992984097e-09,8.734920569936023,up
CASP4,6.699063575125001,4.7018577307500005,1.9972058443750003,5.138163979501397e-12,1.8411086992984097e-09,8.734920569936023,up
PLPPR4,6.286354093062499,2.84645985,3.4398942430624992,5.787101833291907e-12,2.0306193610204102e-09,8.69237147733427,up
LOC101927027,4.362845616640625,3.387188011333333,0.9756576053072918,6.161998766988732e-12,2.094598174622498e-09,8.678899279276216,not_significant
ZNF736,3.0775023051875,2.649184476222222,0.42831782896527804,6.142895694426326e-12,2.094598174622498e-09,8.678899279276216,not_significant
DNM1L,6.943045200770833,7.433401471722223,-0.49035627095138956,6.3561356445409665e-12,2.1273497068767495e-09,8.672161112220904,not_significant
PRR11,8.303170208833333,6.996933595277778,1.306236613555555,6.5624149451271995e-12,2.163111168655185e-09,8.664921160314556,up
DSEL,3.8341527019583337,2.7162519985,1.1179007034583335,7.192791765104399e-12,2.3355102216394956e-09,8.631618227630357,up
KIAA0101,5.44401871,3.2109123689166665,2.2331063410833334,7.988666333045572e-12,2.5557858246383296e-09,8.592475542952984,up
RASSF2,6.998606983999999,4.415580460666667,2.5830265233333325,9.261542271128838e-12,2.9200703204117085e-09,8.53460668985328,up
SNORD77,8.63567456959375,6.823410798083333,1.812263771510417,1.0850578135937472e-11,3.372204676390281e-09,8.472086073688686,up
HLA-DMB,9.17400891925,6.935664723333333,2.2383441959166666,1.1311595303865918e-11,3.465968392050747e-09,8.460175402158898,up
FKBP4,4.529022219421875,5.212446115625,-0.6834238962031254,1.1858144750551245e-11,3.582971375670033e-09,8.44575666139521,not_significant
NKX3-1,2.717663306145833,3.403500039666667,-0.685836733520834,1.2062576115733071e-11,3.594812923257164e-09,8.444323705701441,not_significant
SPP1,5.66397230415625,2.3993169133333336,3.264655390822916,1.2440176395722809e-11,3.657243749850671e-09,8.43684609361674,up
C4orf3,11.052806070666666,9.798846073888887,1.2539599967777786,1.3009166345665749e-11,3.773525517999445e-09,8.423252708799952,up
NBPF20,7.780842969,6.218006551625,1.5628364173750002,1.4490219333336922e-11,4.041470789701855e-09,8.393460555778493,up
FKSG49,6.91234154178125,8.100310160791667,-1.1879686190104168,1.4442353827895329e-11,4.041470789701855e-09,8.393460555778493,down
ASB11,5.1560110898125,8.832886639333333,-3.676875549520833,1.4222630772768728e-11,4.041470789701855e-09,8.393460555778493,down
GXYLT2,7.95222767703125,4.852472160083333,3.0997555169479174,1.5553629269045637e-11,4.2766067954690094e-09,8.368900678293162,up
RBPJ,7.867450922166667,7.017039925833334,0.8504109963333333,1.57264327114466e-11,4.2766067954690094e-09,8.368900678293162,not_significant
SSR2,9.9106704371875,8.706181387833333,1.2044890493541676,1.631024182223189e-11,4.380608775835244e-09,8.358465531136533,up
KIF13B,6.5305532250625,4.9641648675,1.5663883575624995,1.7378852471927256e-11,4.610694335692408e-09,8.336233668221332,up
DACT1,6.7543549284375,3.0141230140000004,3.7402319144375,1.9390609756872606e-11,5.08244235253932e-09,8.29392753863504,up
IGF1,8.5800757112,6.0721806560000005,2.507895055199999,2.1827209968486343e-11,5.586481798404946e-09,8.252861611892177,up
RNASET2,5.067827364833334,4.227268302361111,0.8405590624722228,2.1672095577931098e-11,5.586481798404946e-09,8.252861611892177,not_significant
FST,6.824788233083333,2.890057774666667,3.934730458416666,2.2601415790040763e-11,5.717369773399266e-09,8.242803718691166,up
RPL9,14.357792224375,13.831982678333333,0.5258095460416676,2.301803336236354e-11,5.755831216071481e-09,8.239891949795116,not_significant
RNASE6,7.273473014,3.8284559933333333,3.445017020666667,2.376611184740331e-11,5.875360945912034e-09,8.23096544786428,up
CDK6,4.720792985678571,3.8256807046904764,0.8951122809880947,2.565540578618602e-11,6.271161268297493e-09,8.202652030825487,not_significant
C1orf105,7.3005389754375,3.058644825833333,4.2418941496041676,2.7717188439403154e-11,6.660161550294013e-09,8.176515236362684,up
MARCKS,8.8025548438,7.1132053165,1.6893495272999992,2.7859099107182495e-11,6.660161550294013e-09,8.176515236362684,up
C21orf91,5.75075687896875,4.886441392999999,0.864315485968751,2.889499366458196e-11,6.8327237736193536e-09,8.165406136136339,not_significant
TSPAN13,9.443941674562499,8.2281682215,1.2157734530624982,3.2028037730137324e-11,7.49215011633481e-09,8.12539352947583,up
ARF4,10.467453753874999,9.622327686,0.8451260678749986,3.284595697739178e-11,7.601742489820831e-09,8.119086846275147,not_significant
TRIQK,4.2088422599875,3.2648727393999994,0.9439695205875003,3.800871324582643e-11,8.703995333294253e-09,8.060281350495746,not_significant
IFI44,6.5123214818125,3.896719420666667,2.6156020611458333,3.909876187356342e-11,8.860349630826795e-09,8.052549140444453,up
LOC654342,5.871538861125,4.370450942958334,1.5010879181666663,4.209775946403195e-11,9.34527303204097e-09,8.029408005726927,up
